"gender","Age","attitude","stra","deep","surf","Points"
"F",53,37,27,43,31,25
"M",55,31,22,35,38,12
"F",49,25,29,42,27,24
"M",53,35,25,42,27,10
"M",49,37,29,44,34,22
"F",38,38,29,57,29,21
"M",50,35,18,46,23,21
"F",37,29,32,39,34,31
"M",37,38,34,52,26,24
"F",42,21,28,48,36,26
"M",37,39,29,43,32,31
"F",34,38,38,46,29,31
"F",34,24,29,51,27,23
"F",34,30,28,40,33,25
"M",35,26,14,50,28,21
"F",33,41,31,44,28,31
"F",32,26,11,49,35,20
"F",44,26,26,42,30,22
"M",29,17,24,49,45,9
"F",30,27,30,48,33,24
"M",27,39,21,47,28,28
"M",29,34,19,48,29,30
"F",31,27,29,48,36,24
"F",37,23,22,44,29,9
"F",26,37,14,44,34,26
"F",26,44,26,53,38,32
"M",30,41,32,47,36,32
"F",33,37,29,45,24,33
"F",33,25,23,39,42,29
"M",28,30,24,43,45,30
"M",26,34,13,59,30,19
"F",27,32,26,43,25,23
"F",25,20,28,35,29,19
"F",31,24,24,44,31,12
"M",20,42,26,54,19,10
"F",39,16,15,49,34,11
"M",38,31,35,46,22,20
"M",24,38,29,39,29,26
"M",26,38,20,28,39,31
"M",25,33,10,40,41,20
"F",30,17,32,49,41,23
"F",25,25,24,35,38,12
"M",30,32,20,40,42,24
"F",48,35,39,46,32,17
"F",24,32,40,44,29,29
"F",40,42,35,56,43,23
"M",25,31,26,45,25,28
"F",23,39,32,41,45,31
"F",25,19,25,50,35,23
"F",23,21,20,35,35,25
"M",27,25,25,50,29,18
"M",25,32,26,43,36,19
"M",23,32,17,34,41,22
"F",23,26,22,48,35,25
"F",23,23,19,35,39,21
"F",45,38,25,36,39,9
"F",22,28,32,49,28,28
"F",23,33,32,35,39,25
"M",21,48,18,42,30,29
"M",21,40,26,52,21,33
"F",21,40,29,51,27,33
"F",21,47,29,41,25,25
"F",26,23,20,37,34,18
"F",25,31,15,55,34,22
"F",26,27,16,41,29,17
"M",21,41,15,41,27,25
"F",23,34,32,41,34,28
"F",22,25,23,43,27,22
"F",22,21,31,19,22,26
"F",22,14,20,40,35,11
"F",23,19,22,52,35,29
"M",22,37,36,53,25,22
"M",23,32,27,58,28,21
"M",24,28,21,37,29,28
"F",22,41,33,36,33,33
"F",23,25,21,49,39,16
"M",22,28,18,49,21,31
"M",20,38,22,45,31,22
"M",22,31,24,37,40,31
"M",21,35,13,57,34,23
"F",22,36,15,51,30,26
"F",23,26,27,50,29,12
"M",21,44,30,53,29,26
"M",22,45,17,46,31,31
"M",29,32,19,40,36,19
"F",29,39,22,38,24,30
"F",21,25,25,38,41,12
"M",28,33,28,46,34,17
"F",21,33,21,51,27,18
"F",30,30,27,46,33,19
"F",21,29,18,44,47,21
"M",23,33,24,46,28,24
"F",21,33,32,46,33,28
"F",21,35,28,46,33,17
"F",20,36,21,44,35,18
"M",22,37,20,52,25,17
"M",21,42,30,45,44,23
"M",21,32,29,50,34,26
"F",20,50,33,48,41,28
"M",22,47,35,48,19,31
"F",20,36,21,55,35,27
"F",20,36,32,44,36,25
"M",24,29,22,44,35,23
"F",20,35,22,46,32,21
"F",19,40,11,31,36,27
"F",21,35,18,42,33,28
"F",21,32,29,37,37,23
"F",22,26,30,51,30,21
"F",25,20,32,38,28,25
"F",21,27,25,37,36,11
"F",22,32,26,50,36,19
"F",25,33,17,27,48,24
"F",20,39,23,40,39,28
"M",24,33,12,37,42,21
"F",20,30,20,33,42,24
"M",21,37,26,39,46,24
"F",20,25,29,48,35,20
"F",20,29,31,43,26,19
"M",31,39,31,49,20,30
"F",20,36,19,51,25,22
"F",22,29,24,41,34,16
"F",22,21,27,37,41,16
"M",21,31,22,42,40,19
"M",22,40,36,44,31,30
"F",21,31,21,51,34,23
"F",21,23,22,51,40,19
"F",21,28,26,46,36,18
"F",21,37,33,53,31,28
"F",20,26,27,42,29,21
"F",21,24,22,43,43,19
"F",25,30,33,44,25,27
"M",21,28,26,25,52,24
"F",24,29,23,51,32,21
"F",20,24,23,43,36,20
"M",21,31,19,48,32,28
"F",20,19,31,40,26,12
"F",20,20,17,42,32,21
"F",18,38,32,38,27,28
"F",21,34,26,43,32,31
"F",19,37,21,41,40,18
"F",21,29,22,51,42,25
"F",20,23,32,39,33,19
"M",21,41,24,53,24,21
"F",20,27,27,39,34,16
"F",21,35,31,47,42,7
"F",20,34,26,43,30,21
"F",18,32,27,54,38,17
"M",22,33,33,43,37,22
"F",22,33,28,44,35,18
"M",24,35,16,31,38,25
"F",19,32,29,50,30,24
"F",20,31,27,39,46,23
"F",20,28,17,52,27,23
"F",17,17,37,47,41,26
"M",19,19,20,32,45,12
"F",20,35,23,37,36,32
"F",20,24,22,45,31,22
"F",20,21,32,50,40,20
"F",20,29,19,50,34,21
"F",19,19,31,39,36,23
"F",19,20,27,49,34,20
"F",22,42,14,35,38,28
"M",35,41,24,46,33,31
"F",18,37,21,38,41,18
"F",19,36,21,41,36,30
"M",21,18,27,49,32,19
